Filename	DevelopmentalState	Replicate
GSM202682.CEL	Preg17	rep1
GSM202683.CEL	Preg17	rep2
GSM202684.CEL	Preg17	rep3
GSM202685.CEL	Preg17	rep4
GSM202686.CEL	Preg19	rep1
GSM202687.CEL	Preg19	rep2
GSM202688.CEL	Preg19	rep3
GSM202689.CEL	Preg19	rep4
GSM202690.CEL	Lac1	rep1
GSM202691.CEL	Lac1	rep2
GSM202692.CEL	Lac1	rep3
GSM202693.CEL	Lac1	rep4
GSM202694.CEL	Lac2	rep1
GSM202695.CEL	Lac2	rep2
GSM202696.CEL	Lac2	rep3
GSM202697.CEL	Lac2	rep4
GSM202698.CEL	Lac9	rep1
GSM202699.CEL	Lac9	rep2
GSM202700.CEL	Lac9	rep3
GSM202701.CEL	Lac9	rep4
